Recurrence length,LSTM Units,Embedding Dimension,FF model shape,Initial Learning Rate,Regularization,Metric,Training loss,Val loss,time_start,time_duration,Epochs,Columns,LSTM type,user,coordinates
60,128,0,"[2, 1]",0.001,Batch Normalization,mse,17.68839454650879,17.66802978515625,2021-06-30 10:56:40.389128,"2 days, 18:41:55.753849",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 0, 0]"
60,32,10,"[2, 2, 1]",0.001,Batch Normalization,mse,19.99560165405273,19.99972343444824,2021-07-02 02:20:38.075455,"1 day, 0:53:36.190305",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 1, 2, 0]"
60,64,10,"[2, 2, 1]",0.001,Batch Normalization,mse,19.995115280151367,20.000682830810547,2021-07-04 21:21:33.632544,"1 day, 16:59:52.666145",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 2, 0]"
60,64,20,"[2, 1]",0.001,Batch Normalization,mse,19.995525360107422,20.000686645507812,2021-07-06 14:31:19.654980,"1 day, 15:51:46.954074",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 3, 0]"
60,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.994808197021484,20.00239944458008,2021-06-30 11:16:34.494981,"2 days, 20:25:27.348644",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 2, 0]"
60,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.994916915893555,20.00289535522461,2021-07-03 06:02:05.646226,"2 days, 12:10:21.681467",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 2, 0]"
30,16,5,"[2, 1]",0.001,Batch Normalization,mse,19.964778900146484,20.01253890991211,2021-06-11 20:11:51.768629,9:54:42.982275,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 0, 1, 0]"
30,64,5,"[2, 1]",0.001,Batch Normalization,mse,19.964675903320312,20.0125675201416,2021-06-16 21:31:27.649801,"1 day, 2:44:05.556845",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 1, 0]"
30,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.964338302612305,20.012733459472656,2021-06-25 10:37:00.840618,"2 days, 2:46:14.429917",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 2, 0]"
30,128,50,"[2, 1]",0.001,Batch Normalization,mse,19.96449279785156,20.01274871826172,2021-06-25 05:50:39.990268,"2 days, 3:13:17.941435",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 4, 0]"
30,64,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,19.96417617797852,20.012908935546875,2021-06-20 16:34:30.411897,"1 day, 3:50:07.713979",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 2, 0, 0]"
30,64,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,19.96430206298828,20.01347541809082,2021-06-20 18:13:26.144390,"1 day, 3:42:52.326338",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 3, 0, 0]"
