Recurrence length,LSTM Units,Embedding Dimension,FF model shape,Initial Learning Rate,Regularization,Metric,Training loss,Val loss,time_start,time_duration,Epochs,Columns,LSTM type,user,coordinates
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,9.201169967651367,9.194643020629885,2021-06-16 21:31:16.915696,"1 day, 2:01:30.391128",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 1]"
30,64,50,"[2, 2, 1]",0.001,Batch Normalization,mse,9.21573543548584,9.209606170654297,2021-06-28 02:34:36.111084,"1 day, 5:21:44.888632",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 4, 0]"
60,32,20,"[2, 1]",0.001,Batch Normalization,mse,8.849987983703613,9.22100830078125,2021-07-07 01:22:06.442423,"1 day, 1:28:39.837830",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 3, 0]"
30,64,5,"[2, 1]",0.001,Batch Normalization,mse,9.197793960571287,9.233277320861816,2021-06-16 21:31:39.940215,"1 day, 1:59:11.188298",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 1, 0]"
30,64,10,"[2, 1]",0.001,Batch Normalization,mse,9.26125431060791,9.235285758972168,2021-06-22 09:19:07.545808,"1 day, 8:27:30.844484",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 2, 0]"
30,64,0,"[2, 1]",0.001,Batch Normalization,mse,9.28841495513916,9.235756874084473,2021-06-19 13:22:58.288527,"1 day, 4:03:19.716110",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 0]"
30,64,5,"[4, 1]",0.001,Batch Normalization,mse,9.19521141052246,9.236770629882812,2021-06-22 09:25:47.261059,"1 day, 10:25:57.383424",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 1, 1]"
60,32,10,"[2, 2, 1]",0.001,Batch Normalization,mse,8.977757453918457,9.2378511428833,2021-07-06 00:23:36.971872,"1 day, 0:58:39.278855",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 1, 2, 0]"
30,64,0,"[2, 2, 1]",0.001,Batch Normalization,mse,9.301177978515623,9.245766639709473,2021-06-19 13:22:26.291832,"1 day, 3:28:56.814557",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 0, 0]"
30,64,5,"[2, 2, 1]",0.001,Batch Normalization,mse,9.28067111968994,9.253042221069336,2021-06-22 09:10:52.175590,"1 day, 10:43:24.054423",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 1, 0]"
30,64,50,"[2, 1]",0.001,Batch Normalization,mse,9.268190383911133,9.256709098815918,2021-06-24 02:04:14.477885,"1 day, 7:56:57.763842",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 4, 0]"
60,32,0,"[2, 1]",0.001,Batch Normalization,mse,9.0145263671875,9.257004737854004,2021-07-02 05:52:03.745183,"1 day, 2:42:31.598869",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 0, 0]"
30,64,5,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,9.307595252990724,9.26388454437256,2021-06-22 09:22:19.883104,"1 day, 10:50:17.767506",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 2, 1, 0]"
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,9.056222915649414,9.267987251281738,2021-06-20 13:19:46.556225,"1 day, 0:03:23.156830",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 1]"
30,128,0,"[6, 1]",0.001,Batch Normalization,mse,8.801047325134277,9.295909881591797,2021-06-25 12:42:21.108066,"2 days, 0:44:12.764747",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 0, 2]"
30,64,0,"[6, 1]",0.001,Batch Normalization,mse,9.002614974975586,9.30721950531006,2021-06-24 02:03:33.184148,"1 day, 4:20:35.193156",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 2]"
30,128,0,"[2, 1]",0.001,Batch Normalization,mse,8.846628189086914,9.318853378295898,2021-06-19 13:35:26.054682,"1 day, 21:05:54.220995",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 0, 0]"
30,64,10,"[6, 6, 1]",0.001,Batch Normalization,mse,9.059457778930664,9.324541091918944,2021-06-27 12:11:11.649866,"1 day, 2:16:29.024640",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 2, 2]"
30,64,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.053451538085938,9.325939178466797,2021-06-21 09:26:27.676244,21:43:32.813036,5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 4, 0, 0]"
60,32,10,"[2, 1]",0.001,Batch Normalization,mse,9.482102394104004,9.33642292022705,2021-06-30 11:05:31.227315,"1 day, 0:43:52.941196",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 2, 0]"
30,64,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,9.18825340270996,9.346597671508787,2021-06-20 18:09:11.630541,"1 day, 3:42:01.734977",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 3, 0, 0]"
30,64,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.029345512390137,9.388956069946287,2021-06-17 23:18:18.826059,"1 day, 0:03:37.502419",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 4, 0, 0]"
30,64,10,"[6, 1]",0.001,Batch Normalization,mse,8.838215827941895,9.397645950317385,2021-06-24 02:03:14.405485,"1 day, 3:16:38.910569",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 2, 2]"
30,64,5,"[2, 2, 1]",0.001,Batch Normalization,mse,8.877175331115723,9.400713920593262,2021-06-22 09:10:16.833059,"1 day, 11:07:41.290125",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 1, 1, 0]"
30,64,5,"[2, 1]",0.001,Batch Normalization,mse,8.874455451965332,9.417617797851562,2021-06-19 13:36:10.047068,"1 day, 5:01:20.724319",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 1, 0]"
30,64,10,"[2, 1]",0.001,Batch Normalization,mse,8.842876434326172,9.421846389770508,2021-06-22 09:19:07.387312,"1 day, 11:57:35.619064",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 2, 0]"
30,64,0,"[8, 2, 1]",0.001,Batch Normalization,mse,8.933635711669922,9.461198806762695,2021-06-21 10:12:49.483837,21:41:56.733427,5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 4, 0, 0]"
30,32,0,"[2, 1]",0.001,Batch Normalization,mse,9.509998321533203,9.463770866394045,2021-06-11 20:11:26.362420,13:30:26.545547,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 0, 0]"
